,feature,rmse
128,Gamma(gapi)__index_mass_quantile__q_0.9,117.622904476361
129,"Gamma(gapi)__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",118.23573651644412
130,"Gamma(gapi)__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",119.52488100969964
131,"Gamma(gapi)__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",111.7938922524159
132,"Gamma(gapi)__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",109.59415158455066
133,"Gamma(gapi)__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",57.21181741053018
134,"Gamma(gapi)__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",77.82785790842352
135,"Gamma(gapi)__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",82.6675936442795
136,"Gamma(gapi)__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",131.78247797800913
137,"Gamma(gapi)__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",38.67237704265154
138,"Gamma(gapi)__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",44.98599378039358
139,"Gamma(gapi)__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",56.5651924047216
140,"Gamma(gapi)__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",154.01648782549503
141,"Gamma(gapi)__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",53.834564516649564
142,"Gamma(gapi)__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",31.13843686856425
143,"Gamma(gapi)__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",38.92516610974381
144,"Gamma(gapi)__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",176.0308599460532
145,"Gamma(gapi)__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",82.84479075580771
146,"Gamma(gapi)__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",34.35316124501423
147,"Gamma(gapi)__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",38.355282847941965
148,"Gamma(gapi)__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",197.6146901295989
149,"Gamma(gapi)__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",104.56045557841013
150,"Gamma(gapi)__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",37.07528065045483
151,"Gamma(gapi)__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",51.08761304604944
152,"Gamma(gapi)__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",218.58788707130674
153,"Gamma(gapi)__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",114.460947064482
154,"Gamma(gapi)__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",34.210617292188026
155,"Gamma(gapi)__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",66.46422412891562
156,"Gamma(gapi)__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",238.8162093321528
157,"Gamma(gapi)__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",117.78070684811625
158,"Gamma(gapi)__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",29.99408679888721
159,"Gamma(gapi)__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",79.97178338008148
160,"Gamma(gapi)__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",258.1331396160256
161,"Gamma(gapi)__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",118.6768301650314
162,"Gamma(gapi)__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)",33.15786301430105
163,"Gamma(gapi)__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",90.11591500877852
164,"Gamma(gapi)__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",276.37712671351187
165,"Gamma(gapi)__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",118.85187879038308
166,"Gamma(gapi)__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)",45.6066008018205
167,"Gamma(gapi)__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",96.3837184304261
168,"Gamma(gapi)__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",293.42329401275845
169,"Gamma(gapi)__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",118.61390795726545
