DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TOR(ft_lb),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi),MSE2(ksi),MSE(ksi)
83.5,169.7290244,,,-0.927559043,,0.7971777,0.36893306,,,,,,83.49204356,,,,
84,170.7453659,,,-0.933113289,,0.80195122,0.37114224,,,,,,83.99199592,,,,
84.5,171.7617073,,,-0.938667535,,0.806724739,0.37335142,,,,,,84.49194828,,,,
85,172.7780488,,,-0.94422178,,0.811498258,0.3755606,,,,,,84.99190063,,,,
85.5,173.7943902,,,-0.949776026,,0.816271777,0.37776978,,,,,,85.49185299,,,,
86,174.8107317,,,-0.955330272,,0.821045296,0.37997896,,,,,,85.99180535,,,,
86.5,175.8270732,,,-0.960884518,,0.825818815,0.38218814,,,,,,86.4917577,,,,
87,176.8434146,,,-0.966438763,,0.830592334,0.38439732,,,,,,86.99171006,,,,
87.5,177.8597561,,,-0.971993009,,0.835365854,0.3866065,,,,,,87.49166242,,,,
88,178.8760976,,,-0.977547255,,0.840139373,0.38881568,,,,,,87.99161477,,,,
88.5,179.892439,,,-0.983101501,,0.844912892,0.39102486,,,,,,88.49156713,,,,
89,180.9087805,,,-0.988655747,,0.849686411,0.39323404,,,,,,88.99151949,,,,
89.5,181.925122,,,-0.994209992,,0.85445993,0.39544322,,,,,,89.49147184,,,,
90,182.9414634,,,-0.999764238,,0.859233449,0.3976524,,,,,,89.9914242,,,,
90.5,183.9578049,,,-1.005318484,,0.864006969,0.39986158,,,,,,90.49137656,,,,
91,184.9741463,,,-1.01087273,,0.868780488,0.40207076,,,,,,90.99132891,,,,
91.5,185.9904878,,,-1.016426975,,0.873554007,0.40427994,,,,,,91.49128127,,,,
92,187.0068293,,,-1.021981221,,0.878327526,0.40648912,,,,,,91.99123363,,,,
92.5,188.0231707,,,-1.027535467,,0.883101045,0.4086983,,,,,,92.49118598,,,,
93,189.0395122,,,-1.033089713,,0.887874564,0.41090748,,,,,,92.99113834,,,,
93.5,190.0558537,,,-1.038643958,,0.892648084,0.41311666,,,,,,93.4910907,,,,
94,191.0721951,,,-1.044198204,,0.897421603,0.41532584,,,,,,93.99104305,,,,
94.5,192.0885366,,,-1.04975245,,0.902195122,0.41753502,,,,,,94.49099541,,,,
95,193.104878,,,-1.055306696,,0.906968641,0.4197442,,,,,,94.99094777,,,,
95.5,194.1212195,,,-1.060860941,,0.91174216,0.42195338,,,,,,95.49090012,,,,
96,195.137561,,,-1.066415187,,0.916515679,0.42416256,,,,,,95.99085248,,,,
96.5,196.1539024,,,-1.071969433,,0.921289199,0.42637174,,,,,,96.49080484,,,,
97,197.1702439,,,-1.077523679,,0.926062718,0.42858092,,,,,,96.99075719,,,,
97.5,198.1865854,,,-1.083077925,,0.930836237,0.4307901,,,,,,97.49070955,,,,
98,199.2029268,,,-1.08863217,,0.935609756,0.43299928,,,,,,97.99066191,,,,
98.5,200.2192683,,,-1.094186416,,0.940383275,0.43520846,,,,,,98.49061426,,,,
99,201.2356098,,,-1.099740662,,0.945156794,0.43741764,,,,,,98.99056662,,,,
99.5,202.2519512,,,-1.105294908,,0.949930314,0.43962682,,,,,,99.49051898,,,,
100,203.2682927,,,-1.110849153,,0.954703833,0.441836,,,,,,99.99047133,,,,
100.5,204.2846341,,,-1.116403399,,0.959477352,0.44404518,,,,,,100.4904237,,,,
101,205.3009756,,,-1.121957645,,0.964250871,0.44625436,,,,,,100.990376,,,,
101.5,206.3173171,,,-1.127511891,,0.96902439,0.44846354,,,,,,101.4903284,,,,
102,207.3336585,,,-1.133066136,,0.973797909,0.45067272,,,,,,101.9902808,,,,
102.5,208.35,,,-1.138620382,,0.978571429,0.4528819,,,,,,102.4902331,,,,
103,209.3663415,,,-1.144174628,,0.983344948,0.45509108,,,,,,102.9901855,,,,
103.5,210.3826829,,,-1.149728874,,0.988118467,0.45730026,,,,,,103.4901378,,,,
104,211.3990244,,,-1.15528312,,0.992891986,0.45950944,,,,,,103.9900902,,,,
104.5,212.4153659,,,-1.160837365,,0.997665505,0.46171862,,,,,,104.4900425,,,,
105,213.4317073,,,-1.166391611,,1.002439024,0.4639278,,,,,,104.9899949,,,,
105.5,214.4480488,,,-1.171945857,,1.007212544,0.46613698,,,,,,105.4899473,,,,
106,215.4643902,,,-1.177500103,,1.011986063,0.46834616,,,,,,105.9898996,,,,
106.5,216.4807317,,,-1.183054348,,1.016759582,0.47055534,,,,,,106.489852,,,,
107,217.4970732,,,-1.188608594,,1.021533101,0.47276452,,,,,,106.9898043,,,,
107.5,218.5134146,,,-1.19416284,,1.02630662,0.4749737,,,,,,107.4897567,,,,
108,219.5297561,,,-1.199717086,,1.031080139,0.47718288,,,,,,107.989709,,,,
108.5,220.5460976,,,-1.205271331,,1.035853659,0.47939206,,,,,,108.4896614,,,,
109,221.562439,,,-1.210825577,,1.040627178,0.48160124,,,,,,108.9896138,,,,
109.5,222.5787805,,,-1.216379823,,1.045400697,0.48381042,,,,,,109.4895661,,,,
110,223.595122,,,-1.221934069,,1.050174216,0.4860196,,,,,,109.9895185,,,,
110.5,224.6114634,,,-1.227488314,,1.054947735,0.48822878,,,,,,110.4894708,,,,
111,225.6278049,,,-1.23304256,,1.059721254,0.49043796,,,,,,110.9894232,,,,
111.5,226.6441463,,,-1.238596806,,1.064494774,0.49264714,,,,,,111.4893755,,,,
112,227.6604878,,,-1.244151052,,1.069268293,0.49485632,,,,,,111.9893279,,,,
112.5,228.6768293,,,-1.249705298,,1.074041812,0.4970655,,,,,,112.4892802,,,,
113,229.6931707,,,-1.255259543,,1.078815331,0.49927468,,,,,,112.9892326,,,,
113.5,230.7095122,,,-1.260813789,,1.08358885,0.50148386,,,,,,113.489185,,,,
114,231.7258537,,,-1.266368035,,1.088362369,0.50369304,,,,,,113.9891373,,,,
114.5,232.7421951,,,-1.271922281,,1.093135889,0.50590222,,,,,,114.4890897,,,,
115,233.7585366,,,-1.277476526,,1.097909408,0.5081114,,,,,,114.989042,,,,
115.5,234.774878,,,-1.283030772,,1.102682927,0.51032058,,,,,,115.4889944,,,,
116,235.7912195,,,-1.288585018,,1.107456446,0.51252976,,,,,,115.9889467,,,,
116.5,236.807561,,,-1.294139264,,1.112229965,0.51473894,,,,,,116.4888991,,,,
117,237.8239024,,,-1.299693509,,1.117003484,0.51694812,,,,,,116.9888515,,,,
117.5,238.8402439,,,-1.305247755,,1.121777003,0.5191573,,,,,,117.4888038,,,,
118,239.8565854,,,-1.310802001,,1.126550523,0.52136648,,,,,,117.9887562,,,,
118.5,240.8729268,,,-1.316356247,,1.131324042,0.52357566,,,,,,118.4887085,,,,
119,241.8892683,,,-1.321910493,,1.136097561,0.52578484,,,,,,118.9886609,,,,
119.5,242.9056098,,,-1.327464738,,1.14087108,0.52799402,,,,,,119.4886132,,,,
120,243.9219512,,,-1.333018984,,1.145644599,0.530203201,,,,,,119.9885656,,,,
